id,created_at,text
908398464513458176,2017-09-14 18:34:05,"b'Entendiendo las costumbres mexicanas:\n\nUna gu\xc3\xada b\xc3\xa1sica para turistas, extranjeros y perdidos \xf0\x9f\x99\x83 https://t.co/ZYYh417Lfc'"
908383916498706433,2017-09-14 17:36:17,"b'Qu\xc3\xa9 elegancia la de Francia \xf0\x9f\x8e\xa9\n\nAntes de ser lo m\xc3\xa1s com\xc3\xban del mundo, los l\xc3\xa1pices amarillos eran un art\xc3\xadculo de lujo\xe2\x80\xa6 https://t.co/7b2iBLkbQs'"
908352348577259520,2017-09-14 15:30:50,"b'RT @pictoline: ""No\xe2\x80\xa6 duermo\xe2\x80\xa6\npayaso\xe2\x80\xa6\nme come""\n\n\xc2\xbfPor qu\xc3\xa9 algunas personas le tienen miedo a los payasos? \xf0\x9f\x8e\x88 https://t.co/yZ6BXVETAD'"
908149780227833856,2017-09-14 02:05:54,"b'""No\xe2\x80\xa6 duermo\xe2\x80\xa6\npayaso\xe2\x80\xa6\nme come""\n\n\xc2\xbfPor qu\xc3\xa9 algunas personas le tienen miedo a los payasos? \xf0\x9f\x8e\x88 https://t.co/yZ6BXVETAD'"
908127824136900608,2017-09-14 00:38:40,"b'Los mitos son m\xc3\xa1s que historias: seg\xc3\xban Yuval N. Harari, ayudaron al Homo Sapiens a formar grupos m\xc3\xa1s grandes\xe2\x80\xa6\n\ny a\xe2\x80\xa6 https://t.co/z7468m7Yz8'"
908112021958176773,2017-09-13 23:35:52,b'RT @pictoline: Los Ni\xc3\xb1os H\xc3\xa9roes: el origen \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\n\nAlgunos datos que (probablemente) no sab\xc3\xadas de ellos \xf0\x9f\x91\x87 https://t.co/4WbXiu4I0j'
908041563325874176,2017-09-13 18:55:53,b'Los Ni\xc3\xb1os H\xc3\xa9roes: el origen \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\n\nAlgunos datos que (probablemente) no sab\xc3\xadas de ellos \xf0\x9f\x91\x87 https://t.co/4WbXiu4I0j'
908005250736340992,2017-09-13 16:31:36,"b'La Realidad Aumentada parece estar m\xc3\xa1s cerca que nunca \xf0\x9f\x98\xaf\n\nSi a\xc3\xban no sabes de qu\xc3\xa9 va, aqu\xc3\xad una explicaci\xc3\xb3n r\xc3\xa1pida \xf0\x9f\x91\x87 https://t.co/zK4Say1Cvo'"
907989936619577344,2017-09-13 15:30:45,b'RT @pictoline: \xc2\xa1El agua es vida! \xe2\x9c\xa8 \xf0\x9f\x92\xa7\n\xe2\x80\xa6 y pl\xc3\xa1stico \xf0\x9f\x98\xa5\n\nUn nuevo estudio descubri\xc3\xb3 que la mayor parte del agua del grifo en el planeta tiene p\xe2\x80\xa6'
907773677059444736,2017-09-13 01:11:24,b'\xc2\xa1El agua es vida! \xe2\x9c\xa8 \xf0\x9f\x92\xa7\n\xe2\x80\xa6 y pl\xc3\xa1stico \xf0\x9f\x98\xa5\n\nUn nuevo estudio descubri\xc3\xb3 que la mayor parte del agua del grifo en el planet\xe2\x80\xa6 https://t.co/xaAHmAFydo'
907748486015275008,2017-09-12 23:31:18,b'RT @pictoline: \xc2\xbfQu\xc3\xa9 trae de nuevo el #iPhoneX?\n\nAunque ya se hab\xc3\xadan filtrado algunas caracter\xc3\xadsticas\nhay un antes y un despu\xc3\xa9s de este #App\xe2\x80\xa6'
907703491967070208,2017-09-12 20:32:31,b'\xc2\xbfQu\xc3\xa9 trae de nuevo el #iPhoneX?\n\nAunque ya se hab\xc3\xadan filtrado algunas caracter\xc3\xadsticas\nhay un antes y un despu\xc3\xa9s de\xe2\x80\xa6 https://t.co/5TwesilmKc'
907627964472406016,2017-09-12 15:32:24,b'RT @pictoline: Orgullo mexicano \xf0\x9f\x92\xaa\n\nGuillermo del Toro gan\xc3\xb3 el Le\xc3\xb3n de Oro en Venecia por The Shape of Water: una f\xc3\xa1bula moderna que vale la\xe2\x80\xa6'
907430217651691521,2017-09-12 02:26:37,b'Orgullo mexicano \xf0\x9f\x92\xaa\n\nGuillermo del Toro gan\xc3\xb3 el Le\xc3\xb3n de Oro en Venecia por The Shape of Water: una f\xc3\xa1bula moderna qu\xe2\x80\xa6 https://t.co/jYwsFMT4US'
907397911729782784,2017-09-12 00:18:15,b'M\xc3\xa9xico a\xc3\xban no se recupera de su peor sismo en a\xc3\xb1os\n\nJusto ahora es cuando m\xc3\xa1s nos necesita \xf0\x9f\x92\xaa \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd \xe2\x9d\xa4\xef\xb8\x8f https://t.co/k1wSFRvs9x'
906922461106765825,2017-09-10 16:48:59,b'RT @pictoline: \xc2\xbfAlguna vez te has preguntado por qu\xc3\xa9 tenemos el coraz\xc3\xb3n del lado izquierdo? \xf0\x9f\x91\x89 \xe2\x9d\xa4\xef\xb8\x8f\n\nLa ciencia est\xc3\xa1 cada vez m\xc3\xa1s cerca de res\xe2\x80\xa6'
906614447128449024,2017-09-09 20:25:02,b'\xc2\xbfAlguna vez te has preguntado por qu\xc3\xa9 tenemos el coraz\xc3\xb3n del lado izquierdo? \xf0\x9f\x91\x89 \xe2\x9d\xa4\xef\xb8\x8f\n\nLa ciencia est\xc3\xa1 cada vez m\xc3\xa1s cer\xe2\x80\xa6 https://t.co/fJ98H5c6F9'
906558978729168897,2017-09-09 16:44:38,b'RT @pictoline: #Irma alcanz\xc3\xb3 la categor\xc3\xada 5 y est\xc3\xa1 golpeando a las islas del Caribe\n\n\xc2\xbfPero qu\xc3\xa9 significan las categor\xc3\xadas de los huracanes?\xe2\x80\xa6'
906244726336233474,2017-09-08 19:55:54,b'RT @pictoline: En Latinoam\xc3\xa9rica la corrupci\xc3\xb3n no solo es cosa de todos los d\xc3\xadas\xe2\x80\xa6\nes el peor de nuestros problemas \xf0\x9f\x98\x94 https://t.co/HKw7q7MUik'
906224428752683008,2017-09-08 18:35:15,"b'\xc2\xbfViste las luces que aparecieron en el cielo durante el #Temblor? \nSi s\xc3\xad, fuiste testigo de un fen\xc3\xb3meno MUY raro\n\nA\xe2\x80\xa6 https://t.co/yaeBvjDJ18'"
906186939455250432,2017-09-08 16:06:17,"b'Recuento de da\xc3\xb1os del sismo m\xc3\xa1s fuerte en M\xc3\xa9xico de los \xc3\xbaltimos a\xc3\xb1os\n\nOaxaca, Chiapas y Tabasco, los estados m\xc3\xa1s af\xe2\x80\xa6 https://t.co/eTj1kPjiZW'"
